number,ticker,primary_exchange_code,fundamental_period,earning_value,earning_yoy,earning_plan_to_target,eps_value,eps_accumulated,pe_ratio,fundamental_audit_style,fundamental_status,updated_date,unit,currency
1,NRC,HNX,2020Q2,6.18,-83.4,na,240,"2,165.00",6.4,not audited,consolidated,6/8/2020,billion,dong
2,TTL,HNX,2020Q2,7.17,143.9,na,171,528,16.3,reviewed,consolidated,6/8/2020,billion,dong
3,SFG,HOSE,2020Q2,2.79,-52.7,11,58,-63,-84.1,not audited,separated,6/8/2020,billion,dong
4,MCF,HNX,2020Q2,7.05,30.2,71,654,"1,196.00",6.9,reviewed,separated,6/8/2020,billion,dong
5,PXI,HOSE,2020Q2,-20.12,"-5,732.60",na,-671,-560,-5,reviewed,separated,6/8/2020,billion,dong
6,NT2,HOSE,2020Q2,428.03,10.7,69,"1,487.00","2,781.00",7.8,reviewed,separated,6/8/2020,billion,dong
7,ECI,HNX,2020Q2,2.07,-21.4,68,"1,174.00","1,987.00",8,reviewed,separated,6/8/2020,billion,dong
8,BAX,HNX,2020Q2,13.85,-77.6,13,"1,689.00","4,520.00",9.6,reviewed,separated,6/8/2020,billion,dong
9,DIG,HOSE,2020Q2,27.84,-31.1,na,90,"1,439.00",8.5,not audited,consolidated,6/8/2020,billion,dong
10,QST,HNX,2020Q2,0.14,246.4,3,84,"2,295.00",5.1,reviewed,separated,6/8/2020,billion,dong
11,TBX,HNX,2020Q2,-1.74,"-1,180.20",-359,"-1,151.00","-1,356.00",-16.4,not audited,separated,6/8/2020,billion,dong
12,VGS,HNX,2020Q2,21.4,-24.5,43,508,"1,620.00",4.3,not audited,consolidated,6/8/2020,billion,dong
13,SJC,HNX,2020Q2,-0.27,-291.3,na,-39,-55,-25.5,not audited,separated,6/8/2020,billion,dong
14,TRC,HOSE,2020Q2,37,10.8,52,"1,270.00","2,968.00",9.9,reviewed,consolidated,6/8/2020,billion,dong
15,STC,HNX,2020Q2,3.55,-48.3,27,627,"2,145.00",5.7,reviewed,consolidated,6/8/2020,billion,dong
16,VSH,HOSE,2020Q2,-3.18,-102.9,-3,-15,214,78,not audited,consolidated,6/8/2020,billion,dong
17,TMS,HOSE,2020Q2,139.77,30.2,44,"2,434.00","4,417.00",5.8,not audited,consolidated,6/8/2020,billion,dong
18,TN1,HOSE,2020Q2,40.63,-12.8,35,"3,055.00","7,807.00",6.7,not audited,consolidated,6/8/2020,billion,dong
19,HSL,HOSE,2020Q2,3.85,-74.4,26,244,"2,279.00",2.1,not audited,consolidated,6/8/2020,billion,dong
